"Rank","Player","COMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Josh Allen (BUF)","6","9","66.7%","41","4.6","2","0","0","8","0","2","100.0%","0","17","21.6","1.3","96.0%"
"2","Jalen Hurts (PHI)","1","1","100.0%","3","3.0","0","0","0","3","17","2","100.0%","0","16","13.8","0.9","99.3%"
"3","Justin Fields (NYJ)","0","0","0%","0","0","0","0","1","4","16","2","100.0%","0","9","13.6","1.5","24.4%"
"4","Daniel Jones (IND)","1","3","33.3%","4","1.3","0","0","1","5","9","2","100.0%","0","13","13.1","1.0","28.2%"
"5","Aaron Rodgers (PIT)","3","3","100.0%","26","8.7","3","0","0","0","0","0","0%","0","16","13.0","0.8","32.6%"
"6","Caleb Williams (CHI)","2","2","100.0%","8","4.0","1","0","0","2","22","1","100.0%","0","17","12.5","0.7","76.0%"
"7","J.J. McCarthy (MIN)","1","3","33.3%","13","4.3","1","0","0","1","14","1","100.0%","0","10","11.9","1.2","31.5%"
"8","Brock Purdy (SF)","5","10","50.0%","30","3.0","2","0","0","2","16","0","100.0%","0","9","10.8","1.2","88.2%"
"9","Jordan Love (GB)","4","6","66.7%","35","5.8","2","0","0","2","5","0","100.0%","0","15","9.9","0.7","73.2%"
"10","Kyler Murray (ARI)","3","4","75.0%","9","2.3","2","0","0","1","3","0","100.0%","0","5","8.7","1.7","47.7%"
"11","Justin Herbert (LAC)","2","3","66.7%","16","5.3","2","0","1","0","0","0","0%","0","16","8.6","0.5","89.6%"
"12","Patrick Mahomes II (KC)","1","5","20.0%","1","0.2","0","0","1","1","11","1","100.0%","0","14","7.1","0.5","74.8%"
"13","Lamar Jackson (BAL)","0","0","0%","0","0","0","0","1","1","10","1","100.0%","0","13","7.0","0.5","95.6%"
"14","Michael Penix Jr. (ATL)","0","2","0.0%","0","0.0","0","0","1","2","6","1","100.0%","0","9","6.6","0.7","14.7%"
"15","Jared Goff (DET)","4","10","40.0%","32","3.2","1","1","0","0","0","0","0%","0","17","5.3","0.3","90.3%"
"16","Jayden Daniels (WAS)","1","3","33.3%","7","2.3","1","0","0","1","9","0","100.0%","0","7","5.2","0.7","53.3%"
"17","Joe Flacco (CIN)","4","5","80.0%","25","5.0","1","0","1","0","0","0","0%","0","13","5.0","0.4","10.8%"
"18","Trevor Lawrence (JAC)","2","3","66.7%","10","3.3","1","0","0","1","4","0","100.0%","0","17","4.8","0.3","72.8%"
"19","Drake Maye (NE)","2","4","50.0%","12","3.0","1","0","0","0","0","0","0%","0","17","4.5","0.3","96.0%"
"20","Tua Tagovailoa (MIA)","1","3","33.3%","11","3.7","1","0","0","0","0","0","0%","0","14","4.4","0.3","18.8%"
"21","Baker Mayfield (TB)","1","1","100.0%","9","9.0","1","0","0","0","0","0","0%","0","17","4.4","0.3","92.1%"
"22","Matthew Stafford (LAR)","2","2","100.0%","6","3.0","1","0","0","1","0","0","100.0%","0","17","4.2","0.2","87.5%"
"23","Joe Burrow (CIN)","1","4","25.0%","1","0.3","1","0","0","0","0","0","0%","0","8","4.0","0.5","96.8%"
"24","Russell Wilson (NYG)","2","9","22.2%","12","1.3","0","0","0","2","9","0","100.0%","0","6","1.4","0.2","3.5%"
"25","Spencer Rattler (NO)","0","7","0.0%","0","0.0","0","0","0","1","12","0","100.0%","0","9","1.2","0.1","3.0%"
"26","Bo Nix (DEN)","2","2","100.0%","8","4.0","0","0","0","1","1","0","100.0%","0","17","0.4","0.0","82.5%"
"27","Geno Smith (LV)","1","1","100.0%","7","7.0","0","0","0","0","0","0","0%","0","15","0.3","0.0","16.4%"
"28","C.J. Stroud (HOU)","0","1","0.0%","0","0.0","0","0","1","1","2","0","100.0%","0","14","0.2","0.0","65.8%"
"29","Bryce Young (CAR)","0","1","0.0%","0","0.0","0","0","0","0","0","0","0%","0","16","0.0","0.0","22.9%"
"30","Dak Prescott (DAL)","0","1","0.0%","0","0.0","0","0","0","0","0","0","0%","0","17","0.0","0.0","91.9%"
"31","Cam Ward (TEN)","0","0","0%","0","0","0","0","1","0","0","0","0%","0","17","0.0","0.0","15.4%"
"32","Sam Darnold (SEA)","0","0","0%","0","0","0","0","1","0","0","0","0%","1","17","-2.0","-0.1","43.1%"
""
""